feature
pr_number
CONT_repo
CONT_label_count
CONT_day_of_week
CONT_weekday
CONT_PR_text_wordiness
CODE_number_of_commits
CODE_lines_of_code_changed
CODE_number_of_files_changed
CODE_number_of_milestones
ORG_author_PRs_opened
ORG_PRs_opened_in_last_2_weeks
ORG_PRs_closed_in_last_2_weeks
ORG_open_PRs_at_open_date
ACT_time_since_last_commit
ACT_number_of_linked_issues
CODE_number_of_revisions
ACT_number_of_comments
ACT_number_of_review_comments
ACT_number_of_reviewers
ACT_number_of_approvals
ACT_time_to_first_response
ACT_number_of_assignees
ACT_number_of_changes_requested
ACT_number_of_reviews_requested
CONT_label_a-code-coverage
CONT_label_a-compiletest
CONT_label_a-meta
CONT_label_a-run-make
CONT_label_a-rustdoc-json
CONT_label_a-testsuite
CONT_label_a: accessibility
CONT_label_a: desktop
CONT_label_a: tests
CONT_label_a: text input
CONT_label_author ready
CONT_label_autosubmit
CONT_label_backport-open-v22.x
CONT_label_backport-requested-v20.x
CONT_label_backport-requested-v22.x
CONT_label_backported-to-v22.x
CONT_label_branchautomerge
CONT_label_buffer
CONT_label_bug
CONT_label_build
CONT_label_build system
CONT_label_c++
CONT_label_c++ interop
CONT_label_c: flake
CONT_label_ci-spurious-fail-mingw
CONT_label_ci-spurious-fail-msvc
CONT_label_commit-queue-failed
CONT_label_commit-queue-squash
CONT_label_community
CONT_label_cp: review
CONT_label_cq1
CONT_label_crowdin-sync
CONT_label_crypto
CONT_label_d: api docs
CONT_label_d: docs/
CONT_label_d: examples
CONT_label_dependencies
CONT_label_disposition-merge
CONT_label_doc
CONT_label_docs
CONT_label_dont-land-on-v18.x
CONT_label_dont-land-on-v20.x
CONT_label_dont-land-on-v22.x
CONT_label_engine
CONT_label_errors
CONT_label_esm
CONT_label_experimental
CONT_label_f: cupertino
CONT_label_f: integration_test
CONT_label_f: material design
CONT_label_f: scrolling
CONT_label_fast-track
CONT_label_finished-final-comment-period
CONT_label_framework
CONT_label_fs
CONT_label_full stack cert
CONT_label_github_actions
CONT_label_jabcon
CONT_label_javascript
CONT_label_langchain
CONT_label_lgtm
CONT_label_lib / src
CONT_label_llvm-main
CONT_label_lts-watch-v18.x
CONT_label_lts-watch-v20.x
CONT_label_merged-by-bors
CONT_label_meta
CONT_label_module
CONT_label_needs-ci
CONT_label_needs-review
CONT_label_new english course
CONT_label_new javascript course
CONT_label_notable-change
CONT_label_o-unix
CONT_label_o-windows
CONT_label_open source
CONT_label_openoffice/libreoffice
CONT_label_perf-regression
CONT_label_perf-regression-triaged
CONT_label_platform-android
CONT_label_platform-ios
CONT_label_platform: api
CONT_label_platform: learn
CONT_label_processing
CONT_label_project: gsoc
CONT_label_refactoring
CONT_label_release
CONT_label_relnotes
CONT_label_rollup
CONT_label_run-slow
CONT_label_s-waiting-on-bors
CONT_label_scope: curriculum
CONT_label_scope: i18n
CONT_label_scope: tools/scripts
CONT_label_scope: ui
CONT_label_semver-major
CONT_label_semver-minor
CONT_label_size:l
CONT_label_size:m
CONT_label_size:s
CONT_label_size:xl
CONT_label_size:xs
CONT_label_size:xxl
CONT_label_skip-verify-files
CONT_label_sqlite
CONT_label_status: ready-for-review
CONT_label_status: waiting review
CONT_label_status: waiting update
CONT_label_strip-types
CONT_label_submodules
CONT_label_swift 6.1
CONT_label_t-bootstrap
CONT_label_t-compiler
CONT_label_t-infra
CONT_label_t-libs
CONT_label_t-libs-api
CONT_label_t-rustdoc
CONT_label_test
CONT_label_test_runner
CONT_label_tests
CONT_label_to-announce
CONT_label_tool
CONT_label_tools
CONT_label_type: code-quality
CONT_label_ui
CONT_label_util
CONT_label_utils/log/libs
CONT_label_v22.x
CONT_label_v8 engine
CONT_label_vision
CONT_label_warning: land on red to fix tree breakage
CONT_label_web-standards
CONT_label_webcrypto
CONT_label_webgpu
CONT_label_wg-trait-system-refactor
CONT_label_will affect goldens
CONT_label_windows
CONT_label_ɑ:  core
CONT_label_ɑ: doc loader
CONT_label_ɑ: embeddings
CONT_label_ɑ: text splitters
CONT_label_ɑ: vector store
CONT_label_🍒 release cherry pick
CONT_label_🤖:bug
CONT_label_🤖:docs
CONT_label_🤖:nit
CONT_label_🤖:release
