mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,param_clf__strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.49811348915100095,0.03059654616213571,0.07052807807922364,0.003940417327479805,,sqrt,1,2,200,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200, 'clf__strategy': 'none'}",0.6043467185210722,0.6095535590592849,0.6155601168771838,0.6221810879387519,0.6023220395005562,0.6107927043793698,0.007311113189094331,28
0.5525524616241455,0.018752084894868737,0.06922783851623535,0.003979400374033178,,sqrt,1,2,200,oversample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200, 'clf__strategy': 'oversample'}",0.5934351982770736,0.5941349234960865,0.6132298416998256,0.6279024885084126,0.5984523755412857,0.6054309655045368,0.013311585407685315,39
1.101771640777588,0.019292967361083466,0.1498802661895752,0.011259109690130109,,sqrt,1,2,500,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 500, 'clf__strategy': 'none'}",0.6086593928198933,0.6064176329253189,0.6151501746110161,0.6293644634745925,0.6095773564162308,0.6138338040494103,0.008280406823392449,20
1.185826301574707,0.028285337666378942,0.15723466873168945,0.01615646492796201,,sqrt,1,2,500,oversample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 500, 'clf__strategy': 'oversample'}",0.5998180043816828,0.5914763462586979,0.6060150201179493,0.6310003074555606,0.6001838195892935,0.6056986995606369,0.013472514472768,37
0.51521897315979,0.012560390615074662,0.06427383422851562,0.006999393556053157,,sqrt,1,10,200,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200, 'clf__strategy': 'none'}",0.5925463523365352,0.5939339596214258,0.6122014732703446,0.6269088945423773,0.5990741450886317,0.6049329649718629,0.012996189865295568,40
0.5781468868255615,0.011391398722924719,0.07035932540893555,0.0037394902494513895,,sqrt,1,10,200,oversample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200, 'clf__strategy': 'oversample'}",0.5995238600457562,0.5935030821693735,0.6018538464155194,0.6294472772527595,0.5918041616288094,0.6032264455024435,0.013624518695298174,41
1.1067596912384032,0.03140779607802412,0.13000092506408692,0.013524653236302673,,sqrt,1,10,500,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 500, 'clf__strategy': 'none'}",0.5893066726606593,0.5930308861372082,0.608285788900294,0.6229475156759261,0.5998769239142342,0.6026895574576644,0.012016697733973803,42
1.1915952205657958,0.026699891892365844,0.14107975959777833,0.008942379498873396,,sqrt,1,10,500,oversample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 500, 'clf__strategy': 'oversample'}",0.5941552270681859,0.5940974702927329,0.6063287073952117,0.6300016817479184,0.6055357432166342,0.6060237659441365,0.01310244515179541,36
0.49992995262145995,0.023694335231852347,0.06778426170349121,0.007202684408536708,,sqrt,4,2,200,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__n_estimators': 200, 'clf__strategy': 'none'}",0.5446294992089089,0.5627852286143042,0.5867083121945178,0.5702484136196607,0.5662618578070471,0.5661266622888877,0.013519649582645451,57
0.5794176578521728,0.01591045833337188,0.08030438423156738,0.021676553769702137,,sqrt,4,2,200,oversample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__n_estimators': 200, 'clf__strategy': 'oversample'}",0.5742301155155698,0.5735779676772557,0.5708782829306966,0.6075949492663262,0.5695549201657403,0.5791672471111177,0.014316796564147494,51
