param_clf__strategy,mean_test_score,std_test_score,rank_test_score,param_clf__n_estimators,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_split,param_clf__min_samples_leaf
none,0.6305473511520598,0.013727588264141688,1,500,,sqrt,2,1
oversample,0.6132994317344915,0.020053463537742216,37,500,,sqrt,2,2
undersample,0.6042521989487768,0.01221553670848292,71,500,,sqrt,2,1
