mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,param_clf__strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.29187374114990233,0.005384629018742049,0.027794551849365235,0.0006228123146673221,,sqrt,1,2,200,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200, 'clf__strategy': 'none'}",0.6043467185210722,0.6095535590592849,0.6155601168771838,0.6221810879387519,0.6023220395005562,0.6107927043793698,0.007311113189094331,3
0.26397204399108887,0.006372579537552255,0.027625846862792968,0.00042310418016708665,,sqrt,1,2,200,undersample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200, 'clf__strategy': 'undersample'}",0.5787766986645677,0.5745066755175985,0.5765581606081586,0.6222477967360168,0.5848547998021028,0.5873888262656889,0.017770711750906748,46
0.3157361030578613,0.009365927525962573,0.027893495559692384,0.00048188565860309555,,sqrt,1,2,200,oversample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200, 'clf__strategy': 'oversample'}",0.5934351982770736,0.5941349234960865,0.6132298416998256,0.6279024885084126,0.5984523755412857,0.6054309655045368,0.013311585407685315,9
0.645643663406372,0.02583293203961059,0.058983230590820314,0.006383716501235368,,sqrt,1,2,500,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 500, 'clf__strategy': 'none'}",0.6086593928198933,0.6064176329253189,0.6151501746110161,0.6293644634745925,0.6095773564162308,0.6138338040494103,0.008280406823392449,1
0.6061659336090088,0.014877825325987172,0.06249537467956543,0.007900859028633111,,sqrt,1,2,500,undersample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 500, 'clf__strategy': 'undersample'}",0.5907536109217757,0.5742044859447253,0.5779066550605907,0.6211328567089618,0.5866095062363454,0.5901214229744798,0.016595129903943552,41
0.6807727336883544,0.006907796554449824,0.05964822769165039,0.0008179478061119171,,sqrt,1,2,500,oversample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 500, 'clf__strategy': 'oversample'}",0.5998180043816828,0.5914763462586979,0.6060150201179493,0.6310003074555606,0.6001838195892935,0.6056986995606369,0.013472514472768,7
0.2754404544830322,0.0069551813590146404,0.028053092956542968,0.00047171802204856814,,sqrt,1,10,200,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200, 'clf__strategy': 'none'}",0.5925463523365352,0.5939339596214258,0.6122014732703446,0.6269088945423773,0.5990741450886317,0.6049329649718629,0.012996189865295568,10
0.2649012565612793,0.01081380072263882,0.03550601005554199,0.014470895818762805,,sqrt,1,10,200,undersample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200, 'clf__strategy': 'undersample'}",0.5951408595483612,0.5609976518934003,0.5688897306631758,0.6211553347731139,0.5746123680286072,0.5841591889813318,0.021679791695486676,52
0.315534782409668,0.004456404743257186,0.030260324478149414,0.004350453053571262,,sqrt,1,10,200,oversample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200, 'clf__strategy': 'oversample'}",0.5995238600457562,0.5935030821693735,0.6018538464155194,0.6294472772527595,0.5918041616288094,0.6032264455024435,0.013624518695298174,17
0.6257997035980225,0.01628062640459945,0.05534529685974121,0.005207120382848882,,sqrt,1,10,500,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 500, 'clf__strategy': 'none'}",0.5893066726606593,0.5930308861372082,0.608285788900294,0.6229475156759261,0.5998769239142342,0.6026895574576644,0.012016697733973803,18
