mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,param_clf__strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.254487419128418,0.007852342726437377,0.029066181182861327,0.004455591578935034,,sqrt,1,2,200,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200, 'clf__strategy': 'none'}",0.6431252150320054,0.6326394929566144,0.6571454869315986,0.6591942791241012,0.6454974700685616,0.6475203888225762,0.0097341978928786,3
0.24481711387634278,0.0035941538869193957,0.026970911026000976,0.0005667572086123071,,sqrt,1,2,200,undersample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200, 'clf__strategy': 'undersample'}",0.6172371042894695,0.5934746797022694,0.629683112798701,0.6372103445035087,0.6263967346925565,0.620800395197301,0.01509238147791082,78
0.29144558906555174,0.02485217583790861,0.026613426208496094,0.00039878557214012626,,sqrt,1,2,200,oversample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200, 'clf__strategy': 'oversample'}",0.630511355817539,0.6229647964457723,0.6400068793376221,0.6409458128262728,0.6403980533130466,0.6349653795480507,0.007135104326455791,41
0.6116719245910645,0.02937944348582018,0.06437368392944336,0.004924090592942708,,sqrt,1,2,500,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 500, 'clf__strategy': 'none'}",0.6478553945472737,0.6348101175973124,0.6538956392071436,0.6477121256013518,0.6549225331741986,0.647839162025456,0.007164181225255172,1
0.6051491737365723,0.05428962093577039,0.06265621185302735,0.008588444113269506,,sqrt,1,2,500,undersample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 500, 'clf__strategy': 'undersample'}",0.6279378674461589,0.6046292048505686,0.6313753205202782,0.6501301023072033,0.6321681134023918,0.6292481217053201,0.014539025232054376,63
0.6601161956787109,0.01744789662277472,0.06451716423034667,0.008117164532919538,,sqrt,1,2,500,oversample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 500, 'clf__strategy': 'oversample'}",0.6306080975488566,0.6208905379581969,0.6393432940522943,0.6516166323104198,0.6345737415568525,0.635406460685324,0.010126184312272876,40
0.2622286319732666,0.004246573455031961,0.031714010238647464,0.005734148505221472,,sqrt,1,10,200,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200, 'clf__strategy': 'none'}",0.6442931609060706,0.633394572193747,0.658266650660118,0.64201261040756,0.6492039110016532,0.6454341810338298,0.00820785470442333,11
0.24286861419677735,0.007946302988550478,0.02745347023010254,0.0009107732946458055,,sqrt,1,10,200,undersample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200, 'clf__strategy': 'undersample'}",0.6188918143152496,0.6003243840022452,0.617939769274803,0.6311876708051487,0.6208031819746107,0.6178293640744114,0.009948399557370764,87
0.2733940124511719,0.0060335177432058636,0.03347434997558594,0.009127400521438388,,sqrt,1,10,200,oversample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200, 'clf__strategy': 'oversample'}",0.6308864616373583,0.6229407824799544,0.627131257221665,0.6492569271778261,0.637744635825381,0.6335920128684369,0.009221105112977135,50
0.5976123332977294,0.005661869151477119,0.052025556564331055,0.005156572653631107,,sqrt,1,10,500,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 500, 'clf__strategy': 'none'}",0.6424724758712831,0.632297417673978,0.6578276296334273,0.6445910337195271,0.6511595571057748,0.645669622800798,0.008580879694578152,7
