mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,param_clf__strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.31506547927856443,0.008248467955831297,0.028938484191894532,0.0007139406575943621,,sqrt,1,2,200,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200, 'clf__strategy': 'none'}",0.6316671854001678,0.634521967522883,0.653713808181752,0.6494958065646378,0.6384973584758381,0.6415792252290557,0.008572883832925017,14
0.3456583499908447,0.004706650686705302,0.03149957656860351,0.0042668523797872475,,sqrt,1,2,200,oversample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200, 'clf__strategy': 'oversample'}",0.6290806227072862,0.6182650079902084,0.626234495701965,0.6362567504337628,0.6366787538466265,0.6293031261359697,0.006841912418573155,44
0.7029088497161865,0.007340962992069499,0.05800638198852539,0.007129766241036084,,sqrt,1,2,500,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 500, 'clf__strategy': 'none'}",0.638118066929529,0.6228414768171714,0.6523891214016386,0.6460229678355065,0.6443302127440363,0.6407403691455763,0.010037261285823867,18
0.757127332687378,0.010364254403078517,0.063507080078125,0.005447456461441671,,sqrt,1,2,500,oversample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 500, 'clf__strategy': 'oversample'}",0.625848242645197,0.6196926695318794,0.6329040962639868,0.648305286142303,0.632244482243486,0.6317989553653705,0.00954831843711392,41
0.3188300609588623,0.01244270044902976,0.03140249252319336,0.0036186268975270395,,sqrt,1,10,200,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200, 'clf__strategy': 'none'}",0.6234901600832634,0.6175534508052302,0.6550204103590873,0.637472332264429,0.6340877265986681,0.6335248160221355,0.012913087588973077,37
0.3474471092224121,0.004986915723282578,0.03534550666809082,0.005000350083232275,,sqrt,1,10,200,oversample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200, 'clf__strategy': 'oversample'}",0.6251959149356577,0.6174923849202474,0.6262596873860746,0.6410314964323516,0.6256658781539444,0.6271290723656551,0.007652150090579746,47
0.6990804672241211,0.01613909412839322,0.06316165924072266,0.00871450688670363,,sqrt,1,10,500,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 500, 'clf__strategy': 'none'}",0.6230685565565097,0.6234462561079045,0.6535198967030031,0.6488066876396711,0.6365835483028083,0.6370849890619794,0.012571644811425066,25
0.7677931308746337,0.005166159763942484,0.06619129180908204,0.01010996545153863,,sqrt,1,10,500,oversample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 500, 'clf__strategy': 'oversample'}",0.6223536149174874,0.6112607881561313,0.6308272653717476,0.6478807401223816,0.6289080531687445,0.6282460923472984,0.011965298895474074,46
0.3154165267944336,0.00744812378225193,0.02937946319580078,0.00037620842951230593,,sqrt,4,2,200,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__n_estimators': 200, 'clf__strategy': 'none'}",0.6016856133930639,0.6026046557558934,0.6368483359134588,0.6150547489399145,0.6241356183746948,0.6160657944754051,0.01331202586424517,52
0.35018115043640136,0.0061234800698378306,0.03337907791137695,0.00536180950745438,,sqrt,4,2,200,oversample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__n_estimators': 200, 'clf__strategy': 'oversample'}",0.6145610982982621,0.598671630212726,0.6160571382518084,0.6355498324993105,0.6111891841726128,0.6152057766869439,0.011870400571949742,55
0.7113074779510498,0.00724740481456351,0.060998058319091795,0.0073571548458640605,,sqrt,4,2,500,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__n_estimators': 500, 'clf__strategy': 'none'}",0.6040389072934763,0.6045875733148826,0.6313615519315225,0.6208697459871109,0.6251216110322315,0.6171958779118447,0.01103681197832253,49
0.7759984493255615,0.010385337702656362,0.055345344543457034,0.004723815126327047,,sqrt,4,2,500,oversample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__n_estimators': 500, 'clf__strategy': 'oversample'}",0.6155232442799397,0.6073633447942083,0.6124645890451164,0.6334730837534878,0.6141768068397558,0.6166002137425016,0.008878622035572537,51
0.31086082458496095,0.007628905914574606,0.029890966415405274,0.0008746783409439823,,sqrt,4,10,200,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 10, 'clf__n_estimators': 200, 'clf__strategy': 'none'}",0.6000882953313302,0.5953362608256656,0.6231607322480587,0.6188802227350167,0.6261047280857398,0.6127140478451623,0.012552787366373315,62
0.3461191654205322,0.008095062923175926,0.02918829917907715,0.0003371698180941467,,sqrt,4,10,200,oversample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 10, 'clf__n_estimators': 200, 'clf__strategy': 'oversample'}",0.6203789929738835,0.6001859364308433,0.6127890236016811,0.6318134162488229,0.6063405501220568,0.6143015838754575,0.011031922536056142,57
0.6985039234161377,0.011311796885511604,0.0616060733795166,0.008591003917793624,,sqrt,4,10,500,none,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 10, 'clf__n_estimators': 500, 'clf__strategy': 'none'}",0.6005497399170374,0.6013213519437643,0.6248236571251986,0.6244610963108304,0.6255228789592601,0.6153357448512182,0.01176519757924647,54
0.7747625827789306,0.011653689455720368,0.060311079025268555,0.006777388996921643,,sqrt,4,10,500,oversample,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 10, 'clf__n_estimators': 500, 'clf__strategy': 'oversample'}",0.6193899125456714,0.6073279590775096,0.6146407459261448,0.6304415118834852,0.6126561984983825,0.6168912655862387,0.00780140852286223,50
