feature_set,n_features,search_method,elapsed_time_min,best_cv_f1_macro,best_strategy,test_f1_macro,test_balanced_accuracy,artifacts_dir
post,172,medium-lite,8.88,0.6415792252290557,none,0.6575100936019677,0.644004008058083,outputs_rf_v3_optimized_medium_lite_full_clean_memory/post
pre,163,medium-lite,8.49,0.6138338040494103,none,0.6513433572797087,0.6348960604637452,outputs_rf_v3_optimized_medium_lite_full_clean_memory/pre
