feature_set,n_features,search_method,elapsed_time_min,best_cv_f1_macro,best_strategy,test_f1_macro,test_balanced_accuracy,artifacts_dir
post,172,quick,3.88,0.6530431962475143,none,0.6751210481747227,0.6609169672913812,outputs_rf_v3_quick_optimized/post
pre,163,quick,5.25,0.6313240394751551,none,0.6556323562346877,0.639880728758838,outputs_rf_v3_quick_optimized/pre
